cluster_id,panel_id,size,representative_rel_path
C43590,P1,18,P1-TR반/New Folder With Items/A3_B4_P1_2022-07-15_IR2_01773.jpg
C45526,P1,18,P1-TR반/New Folder With Items/A3_B4_P1_2022-07-15_IR2_07139.jpg
C49932,P3,18,P3-MOF반/A2_B1_P3_2022-07-11_IR3_00206.jpg
C50048,P3,18,P3-MOF반/A2_B1_P3_2022-07-11_IR3_00517.jpg
C50203,P3,18,P3-MOF반/A2_B1_P3_2022-07-11_IR3_00920.jpg
C51991,P4,18,P4-MOF&PT반/A1_B1_P4_2022-07-19_IR2_00873.jpg
C58725,P5,18,P5-PF&PT반/A3_B1_P5_2022-07-01_IR3_01379.jpg
C72011,P8,18,P8-ACB반/A2_B1_P8_2022-07-11_IR2_4_00217.jpg
C73554,P8,18,P8-ACB반/A2_B1_P8_2022-07-11_IR3_03027.jpg
C85287,P9,18,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_8_00524.jpg
C85312,P9,18,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_8_00851.jpg
C90858,P9,18,P9-MCCB반/A3_B2_P9_2022-07-15_IR2_01917.jpg
C91873,P9,18,P9-MCCB반/A3_B2_P9_2022-07-15_IR2_04523.jpg
C94737,P9,18,P9-MCCB반/A3_B2_P9_2022-07-15_IR3_03712.jpg
C8267,P1,17,P1-TR반/New Folder With Items/A1_B1_P1_2022-07-25_IR2_00779.jpg
C8302,P1,17,P1-TR반/New Folder With Items/A1_B1_P1_2022-07-25_IR2_00834.jpg
C12555,P1,17,P1-TR반/New Folder With Items/A1_B2_P1_2022-07-19_IR3_02358.jpg
C13861,P1,17,P1-TR반/New Folder With Items/A1_B3_P1_2022-07-19_IR2_00905.jpg
C20085,P1,17,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_2_00642.jpg
C21749,P1,17,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_3_01354.jpg
C24495,P1,17,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_5_02157.jpg
C27068,P1,17,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR3_00036.jpg
C33333,P1,17,P1-TR반/New Folder With Items/A3_B1_P1_2022-07-01_IR3_00522.jpg
C34860,P1,17,P1-TR반/New Folder With Items/A3_B2_P1_2022-07-15_IR2_01211.jpg
C43446,P1,17,P1-TR반/New Folder With Items/A3_B4_P1_2022-07-15_IR2_01420.jpg
C43630,P1,17,P1-TR반/New Folder With Items/A3_B4_P1_2022-07-15_IR2_01896.jpg
C43636,P1,17,P1-TR반/New Folder With Items/A3_B4_P1_2022-07-15_IR2_01914.jpg
